"1880" "1881" "1882" "1883" "1884" "1885" "1886" "1887" "1888" "1889" "1890" "1891" "1892" "1893" "1894" "1895" "1896" "1897" "1898" "1899" "1900" "1901" "1902" "1903" "1904" "1905" "1906" "1907" "1908" "1909" "1910" "1911" "1912" "1913" "1914" "1915" "1916" "1917" "1918" "1919" "1920" "1921" "1922" "1923" "1924" "1925" "1926" "1927" "1928" "1929" "1930" "1931" "1932" "1933" "1934" "1935" "1936" "1937" "1938" "1939" "1940" "1941" "1942" "1943" "1944" "1945" "1946" "1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990"
"1" NA -1.64288380261057e-08 -2.65790516401632e-08 -4.64232921271179e-08 -6.88012708194297e-08 -1.55602655968479e-07 -2.87394012990494e-07 -6.04917735014254e-07 -9.81059025809139e-07 -1.26505668154864e-06 -2.30360205848157e-06 -2.99873522020822e-06 -4.29552120904952e-06 -5.62436577868086e-06 -1.03517241243634e-05 -1.3447599579941e-05 -1.89124941833291e-05 -1.52652106314571e-05 -2.0660746785528e-05 -9.32774325500263e-06 -2.94631044937682e-05 -3.13899985213972e-05 -7.1667822920729e-05 -6.61576299041122e-05 -6.25790496502771e-05 -6.96749945506003e-05 -6.93995733411501e-05 -7.18980743983494e-05 -8.42253471444177e-05 -6.7199065825238e-05 -4.77709168114487e-05 -3.4139762885993e-05 -2.04404584919077e-05 -5.15526851371795e-06 5.69422262670927e-06 2.55012749433431e-05 4.64256546567898e-05 5.69929584510048e-05 0.000138048497590429 0.000119775800309627 0.000123151498230084 0.000178328028047264 0.000186033743626218 0.000212601633334572 0.000225931815324251 0.00026040803793298 0.000332499327458963 0.000330963387673647 0.000358458842355316 0.000385703235141602 0.000359784407975572 0.000385951302442636 0.000432339291554895 0.00038790367812061 0.000386233517145229 0.000452377481356889 0.00044010729967929 0.000593841641018236 0.000620510951796535 0.000539002010871273 0.000541624168460555 0.000600998069953909 0.000777175668918342 0.000781757814672643 0.000594476529812329 0.000575113588534584 0.000646060495656534 0.000537654486496536 0.00049062082124153 0.000491790457708877 0.000440073642614086 0.000477734714583539 0.000489144943118497 0.000434838309731247 0.000405575264735378 0.000371442414706477 0.000357622686238832 0.000405394459383313 0.00039823038242183 0.000361957639228319 0.000349575430718105 0.000326898124599448 0.000337870363702794 0.000331715702682797 0.000288418541012678 0.000287907113307576 0.00028492700774238 0.00026843341405193 0.000269666043706387 0.000253707543451206 0.000232924268103882 0.000236428601770422 0.000227052697824026 0.000219091273924887 0.000173701009731173 0.000150190032159922 0.000133271097375612 0.00012444514154912 0.000121483041471651 9.6293519568455e-05 9.06134206268283e-05 9.46975049046228e-05 7.75795353077646e-05 6.10592663768117e-05 5.31642265058779e-05 3.83935665349555e-05 3.88825871069642e-05 2.85543023037793e-05 2.89753300238699e-05 1.37804638082328e-05 1.79946270378734e-05
"2" NA NA -9.70498267860442e-09 -2.48232916166824e-08 -3.97207826352552e-08 -4.81557073106487e-08 -1.05974001518572e-07 -2.12243894862074e-07 -3.22158870746936e-07 -4.09738782486402e-07 -6.19167339926951e-07 -1.21480630917159e-06 -1.50932107170765e-06 -2.41719934418461e-06 -3.68809195444575e-06 -5.64563181439104e-06 -7.54258909196892e-06 -8.07967620837513e-06 -1.08054024684362e-05 -1.10594073651077e-05 -1.83056820775851e-05 -1.52862250437508e-05 -2.80820384949421e-05 -2.91523440784924e-05 -2.51397960046862e-05 -3.17888430344665e-05 -6.28191580222398e-05 -5.61103354098785e-05 -5.92412937817505e-05 -6.23337653370554e-05 -4.40988261727615e-05 -4.49422131357513e-05 -2.49304573824161e-05 -1.71600767690516e-05 -3.41130945470669e-06 6.51873100894484e-06 2.10880336875136e-05 2.80033885257519e-05 8.54470666532547e-05 5.08643524235186e-05 7.70397343773238e-05 9.40867593369338e-05 9.05926298623433e-05 0.000114392862156212 9.4984733580647e-05 0.000145534264800781 0.000191987862490264 0.000158685318016022 0.000189061260248771 0.000192612566115399 0.000195778720014667 0.000200423862697988 0.000219397180271516 0.000194680342620782 0.000218064192369166 0.000240080414913885 0.000223820540799821 0.000282497988260161 0.000266232074479122 0.000243959743345915 0.000198786539847742 0.000258255935772514 0.000247177672594426 0.000261600303471526 0.000178446393296616 0.000215253689609271 0.000255302426478102 0.000168309992776672 0.000130511407782405 0.000130267398469955 9.78057648474417e-05 9.78447211324174e-05 8.56433994394501e-05 6.78485226536657e-05 5.04503243041604e-05 3.97803967148308e-05 3.7917892347139e-05 4.1771205739824e-05 4.78297901416874e-05 3.47088804969892e-05 3.23812623245073e-05 2.71588631407804e-05 2.62068744284888e-05 2.00795396600312e-05 1.90351136409167e-05 1.7929064525149e-05 1.3945165071555e-05 1.2810031812735e-05 1.09472765474627e-05 1.08024396015399e-05 8.0313565358342e-06 4.16582933501775e-06 3.72300604457865e-06 1.35584716065562e-07 1.70140088823212e-08 -8.89796354000549e-07 -8.25878361129795e-07 NA -1.74880945744138e-06 -1.00714169644356e-06 4.17926043896899e-07 4.35939461085333e-07 -1.57242622501885e-06 -5.95184175972152e-07 -3.77350921552944e-06 -2.07304019612942e-06 -2.21701735113322e-06 -2.32501355292014e-06 -2.714830160927e-06 -3.42407317635574e-06 -5.53392051598489e-06
"3" NA NA NA -7.38120455034963e-09 -1.01479460529186e-08 -2.78793163832614e-08 -6.0395049780726e-08 -1.01734790772245e-07 -1.92091572759345e-07 -2.88455508423713e-07 -4.27736498137543e-07 -8.08437656207861e-07 -1.13031422825649e-06 -1.72512140395042e-06 -2.85035252772792e-06 -4.403635407213e-06 -5.97216652620247e-06 -6.58269829335867e-06 -1.01050902229921e-05 -1.05196527989682e-05 -1.60124957942764e-05 -1.68807103495955e-05 -2.43139838757289e-05 -2.7935557451661e-05 -2.76961513483998e-05 -3.28109214610128e-05 -2.49520277012111e-05 -2.25106904331168e-05 -2.86819748220174e-05 -2.72966032493077e-05 -2.45243629805741e-05 -2.01783399061961e-05 -1.49382594643588e-05 -1.17940447113413e-05 -5.3106249868623e-06 -1.75441304706148e-06 3.42562236653465e-06 6.37745267857703e-06 3.23479508426011e-05 1.71618828039705e-05 2.59789075528066e-05 3.00254347272433e-05 3.20526651192282e-05 3.72669497807482e-05 3.05098941246751e-05 5.17072653469647e-05 6.17698696200181e-05 5.0113632865334e-05 5.96457447346599e-05 6.12057658066351e-05 5.56310226215162e-05 5.31483666495608e-05 5.87685562906948e-05 5.67642097296234e-05 5.38746600233925e-05 6.09063356130507e-05 5.87998948016477e-05 6.96415412711343e-05 0.000102671825106218 5.82651894486669e-05 4.08629834734442e-05 6.3824394792536e-05 6.13027590671694e-05 6.97620771879931e-05 4.46140569429904e-05 4.6600363617616e-05 7.41213437704252e-05 5.19315926201247e-05 3.78838013435495e-05 3.89681334529296e-05 2.65464322921488e-05 2.19055926494044e-05 2.38459457494733e-05 1.97769447696922e-05 1.36642890400107e-05 1.405193606345e-05 1.51681048524421e-05 1.3905601657635e-05 1.41742238626424e-05 1.29552103299707e-05 1.00382770126944e-05 8.05986059816688e-06 9.45324484023791e-06 6.85011202153363e-06 6.91950676066921e-06 5.87550669062242e-06 2.50732305413781e-06 4.51834320501499e-06 3.38922842915701e-06 3.01187196374841e-06 1.92640109836217e-06 3.7377496826807e-06 1.86355311272701e-06 -1.85220397519448e-07 -2.59192871143732e-06 -8.67354668046549e-07 -1.26571160548317e-06 NA -6.21686541316113e-07 -1.07310308070097e-06 6.94361393605014e-07 -8.00734573952466e-07 -1.18545661764724e-06 1.48476484704285e-06 -2.79999042201995e-07 -3.15867138528381e-07 -1.35239235669882e-06 -1.07307425857572e-06 -1.05657767604517e-07 -1.46291684932631e-06 -1.53526613326516e-06
"4" NA NA NA NA -3.55746203328788e-09 -9.5778533160118e-09 -2.22638217861615e-08 -3.86136292940265e-08 -6.59005932740486e-08 -1.12026353679684e-07 -1.80015615983131e-07 -3.1382697644744e-07 -4.75381376000006e-07 -7.25607671753226e-07 -1.21316627338386e-06 -2.14458061076339e-06 -2.80341715536148e-06 -3.382518869402e-06 -4.85917201216435e-06 -5.71234289471756e-06 -8.12378578042561e-06 -8.55471579069844e-06 -1.40902407667065e-05 -1.52469180373926e-05 -1.65078819759079e-05 -1.95149317957222e-05 -1.13354267966964e-05 -1.06100902236284e-05 -1.45672085982984e-05 -1.43848576264899e-05 -1.26176947589512e-05 -1.157456147928e-05 -8.21101964913751e-06 -8.2934634046683e-06 -4.32923662449514e-06 -3.38289483015064e-06 -1.08933023734714e-06 1.35245614733825e-06 1.12617432112133e-05 5.80793840017357e-06 9.94712126083097e-06 9.9307242232699e-06 1.38079140798303e-05 1.60212896052891e-05 1.75552941118068e-05 2.14264314731399e-05 2.54341906235495e-05 2.1972734006323e-05 2.47407949114931e-05 2.37762073335146e-05 2.51825296223862e-05 2.45186847804141e-05 2.53536491156142e-05 2.60042989805032e-05 2.25568373733026e-05 2.58319679383029e-05 2.70085078897531e-05 3.15550600611253e-05 1.74160219825609e-05 2.6535696589558e-05 1.51205056783954e-05 2.48597610912199e-05 2.44057392197877e-05 2.65892521371103e-05 1.44771900551788e-05 1.52105698676824e-05 2.71918436254154e-05 2.13544578705482e-05 1.43978491729674e-05 1.82237117548473e-05 1.16878187991082e-05 1.06829655438095e-05 1.1463577932691e-05 8.6911783658411e-06 8.59436433955918e-06 7.56941761229091e-06 6.86128187561696e-06 7.12870349871275e-06 6.82447529688768e-06 6.24413252688083e-06 5.67140376182829e-06 4.85197600015586e-06 4.51809708616746e-06 2.64066857803835e-06 1.2158354796149e-06 2.29515028386806e-06 4.03382504524097e-07 2.76707927251985e-07 7.20211477331367e-07 7.89532360018219e-07 -5.12854378034722e-07 6.64123542409856e-08 -6.67305229684612e-07 -2.6856576659795e-07 -2.03701418481639e-06 -4.57343993287562e-07 -1.30934900494095e-06 -1.36824343230368e-06 -9.45867519919208e-07 1.2086782825993e-07 -8.48037915016087e-07 -4.1655580065858e-07 -1.09655052610291e-06 -4.35787615743477e-07 -1.18765848731994e-06 -7.87431133492111e-07 -5.96574037878272e-07 -4.7419585740005e-07 -1.30169215439846e-06 -1.23253630671116e-06 -1.44518004915883e-06
"5" NA NA NA NA NA -3.76072782637404e-09 -6.80988067325305e-09 -1.34419893826898e-08 -2.32655765208811e-08 -3.3225681414506e-08 -6.06151644849673e-08 -1.1493400273177e-07 -1.5702593125777e-07 -2.50958646100252e-07 -4.29701240783897e-07 -8.26345311705223e-07 -1.21256752273757e-06 -1.40712876393889e-06 -2.15596148583908e-06 -2.22748412351259e-06 -3.6411661306357e-06 -3.54032756709477e-06 -6.34610794379709e-06 -7.8470111473522e-06 -7.95758542133929e-06 -1.02343482767941e-05 -5.88034970963602e-06 -5.71558305337283e-06 -9.58592899953647e-06 -8.44190615301166e-06 -7.90399724558133e-06 -7.60608246172523e-06 -6.0762906298889e-06 -5.4134496294822e-06 -3.66452650614468e-06 -3.00521490832761e-06 -3.01986174114366e-06 -5.22624763049651e-07 3.21535547312402e-06 2.38538493925466e-06 4.53784035366056e-06 5.00780859889749e-06 6.22512195241898e-06 7.70135122170335e-06 9.56327347870212e-06 1.24582351281183e-05 1.39171902964613e-05 1.04371735423631e-05 1.26664209861987e-05 1.27508765862955e-05 1.33812095010483e-05 1.36876007901937e-05 1.41156316785518e-05 1.31867378857925e-05 1.2326486526007e-05 1.46755836515772e-05 1.08390394209651e-05 1.75496495189026e-05 6.42153622812391e-06 1.50254005771011e-05 8.46331479133211e-06 1.26887878236087e-05 1.63692466877557e-05 1.18835105951259e-05 1.06207370782346e-05 1.04807739262358e-05 1.71466323063418e-05 1.3053496567203e-05 7.82367121389405e-06 1.08020318815433e-05 6.1230483631991e-06 6.26426061281493e-06 6.77595053340252e-06 6.03385149755553e-06 5.03569878175514e-06 4.4813710799313e-06 4.83973342711719e-06 5.23633487116426e-06 3.63922283157236e-06 3.27242231031033e-06 2.14290014351193e-06 3.22418639661648e-06 3.32817043964539e-06 2.27453977694192e-06 2.71966087049547e-06 1.13565393626558e-06 2.88831083508634e-07 9.84120235705821e-07 1.62764095548718e-07 -4.58242669892917e-07 -8.22354870699815e-07 -2.81214649719419e-07 3.3204424529365e-08 -8.34041397543284e-07 -1.15804991676627e-06 -9.59556713378551e-07 7.96041328673947e-07 -1.36025359262493e-06 -1.19710215934488e-07 -1.37565176241972e-06 3.10786611348868e-07 -1.24600479359249e-06 -6.94211933632838e-08 -1.56645008991818e-07 8.7151444241873e-08 9.60537858793464e-07 -3.84952515475323e-07 7.01860771862295e-08 5.26859006422242e-08 -6.15651468471867e-07 3.3454102321695e-07
"6" NA NA NA NA NA NA -2.91502209870398e-09 -4.51330596507038e-09 -8.31064721207309e-09 -1.19134724863024e-08 -1.89751982737629e-08 -3.97981639171929e-08 -5.90292169866391e-08 -8.20601559342604e-08 -1.61635217765799e-07 -3.18949576735839e-07 -4.90116184762024e-07 -6.39037185515279e-07 -9.58153031374587e-07 -9.89411388055417e-07 -1.50269066016839e-06 -1.53841717703829e-06 -2.72552238113344e-06 -3.66987464966995e-06 -3.97190969281258e-06 -4.83845998418275e-06 -2.62944426610012e-06 -2.98589372987879e-06 -5.18605773928982e-06 -4.7976748437234e-06 -3.95251715813727e-06 -4.21944134725016e-06 -2.71216758081227e-06 -3.79606566010271e-06 -1.92421956186906e-06 -2.48047821338471e-06 -2.99088620948906e-06 -1.28332494794825e-06 -1.25132410655482e-06 5.54600821836559e-07 1.60084635454638e-06 2.03689380355587e-06 2.6107444390383e-06 2.99837601548669e-06 4.71268491980537e-06 6.83478233302892e-06 7.4409343608639e-06 5.80652525683512e-06 6.72740740520483e-06 6.28118133712274e-06 5.84299524784837e-06 6.91122546292444e-06 6.79917188220469e-06 6.91661375026853e-06 5.08788077485667e-06 7.75475301117989e-06 7.52165550442496e-06 8.04296807616067e-06 9.01684031655303e-06 8.32126189886928e-06 3.00960883230228e-06 7.10750038175612e-06 8.2594852781892e-06 1.23301871613052e-05 4.63037979771264e-06 6.994110461081e-06 1.22785548335447e-05 5.40627765739654e-06 5.90618837155443e-06 6.69038875898698e-06 5.07415078050688e-06 3.74020531658525e-06 4.13817720246179e-06 3.3869718504137e-06 2.88522144636927e-06 3.00316777643306e-06 3.53061174501734e-06 2.12732166168794e-06 3.50511378684193e-06 3.89871860277669e-06 1.5742314384698e-06 2.31342685051705e-06 1.27713229289284e-06 8.47608906562325e-07 -6.31713403809187e-08 1.43115437209462e-07 -3.0389979421841e-07 -6.25739556572857e-07 -2.58125049307223e-07 -8.30059242534764e-07 -2.94562714497903e-07 NA -8.60155987200684e-07 1.99216551477477e-07 -1.31771660787094e-06 -9.73399985254586e-07 -8.41621475150545e-08 -7.62122212977223e-07 -1.15617969716209e-06 -5.30126202699654e-07 -1.03175800916788e-07 -3.62577631821126e-07 1.55743078544823e-07 -9.02455990534068e-07 -5.22121970825129e-07 -1.27233585572872e-06 -1.41451505812629e-06 1.74973247973886e-08 -1.05277178974461e-07 -2.98546008845046e-07 -4.92510214292197e-07
"7" NA NA NA NA NA NA NA -1.8426710435282e-09 -2.51576121046426e-09 -3.76196380991178e-09 -5.4739326960096e-09 -1.02558699172084e-08 -1.84273632186649e-08 -2.41322844901637e-08 -4.65794773862882e-08 -1.03243456131552e-07 -1.66395854303558e-07 -2.17953747119748e-07 -3.63522462271115e-07 -3.46036269319172e-07 -5.05588797244938e-07 -4.43609655578769e-07 -9.71085496154211e-07 -1.44309487094818e-06 -1.69106846564793e-06 -1.8536017305365e-06 -1.41598452278735e-06 -1.80194724172522e-06 -2.87870921139577e-06 -2.95349033639647e-06 -2.90706984404365e-06 -3.00040637510324e-06 -2.07237593372045e-06 -2.42906895867034e-06 -1.827234047444e-06 -1.80566958390971e-06 -2.47053701897537e-06 -1.62411732856915e-06 -4.72738924907345e-06 -2.28733787618896e-07 4.12082391113011e-07 9.408561801455e-07 1.32369720719228e-06 1.65329252271862e-06 2.04326492497797e-06 4.21068642568467e-06 4.53519484223952e-06 4.44838453071694e-06 3.82913144875152e-06 4.05368653980109e-06 3.52088210799073e-06 3.62931154815338e-06 4.3071201295819e-06 4.35408361922074e-06 2.49593206635979e-06 4.66791782437193e-06 3.23306264415901e-06 5.45904242327255e-06 6.89756215555004e-06 7.24556525243114e-06 1.68240807564557e-06 3.86831034060453e-06 7.11612611836721e-06 1.09448106484777e-05 6.45621230455085e-06 7.47691800197237e-06 7.29786499886753e-06 6.21430826698577e-06 4.55389684257679e-06 5.0875960517921e-06 3.68390518212802e-06 2.0188359090012e-06 4.12949648619099e-06 2.69344765167767e-06 3.17172805169852e-06 3.33444163996832e-06 3.51791969567528e-06 2.64035148551944e-06 2.2919820016204e-06 2.45782858807053e-06 2.06376684824816e-06 1.45069968709999e-06 1.55247915470391e-06 1.09015872391816e-06 1.0516263036775e-06 -1.5001906433082e-06 3.18029219431581e-07 -2.39899725806847e-07 -5.93663966846902e-07 -5.80754118448268e-07 -6.50966669318853e-08 -1.0636039721873e-06 -1.15122979163496e-07 1.65410472818817e-07 -9.29570705368588e-07 6.83877940277355e-07 4.36334558803764e-07 4.20818953017488e-07 8.46817446165105e-08 -1.47917664311548e-06 7.1824046402047e-07 -6.3622421266063e-07 9.66836397386928e-07 -1.21132767336163e-06 8.67726595160656e-08 2.08848705232634e-07 3.48574095004883e-08 6.98561784251428e-08 -6.12403861066646e-07 -3.50900266371523e-07 -1.15905723147014e-06
"8" NA NA NA NA NA NA NA NA -8.68174435120217e-10 -8.43931938221409e-10 -7.79838318920589e-10 -1.1753051865071e-09 -2.96948959865873e-09 -2.63616066475958e-09 -7.09839599599693e-09 -1.93178096574709e-08 -3.64271645070247e-08 -4.42558032859308e-08 -8.51009705621353e-08 -5.38881642225819e-08 -3.21397239377852e-09 7.19520270864304e-08 -6.31802211104038e-08 -2.78801179545707e-07 -2.53429967178587e-07 -7.08746328292875e-08 -4.19419046354674e-07 -6.05643922707566e-07 -1.53866443350359e-06 -1.61700858074265e-06 -1.51071093081045e-06 -1.98902939249623e-06 -1.28363157346489e-06 -1.29266478532397e-06 -1.28115043916688e-06 -1.60021567312263e-06 -1.83055012306643e-06 -1.62034372316877e-06 -5.86735166929753e-06 -8.117190020418e-07 -1.53345757245016e-07 2.61788274252828e-07 5.02518149411713e-07 6.1006097441807e-07 1.27095325669346e-06 1.72953397399589e-06 2.08271415902406e-06 2.10037846859468e-06 2.69170865575818e-06 1.97587532084487e-06 1.27041187167332e-06 2.60429531825923e-06 3.5209000535108e-06 2.27617362506816e-06 2.9548804005991e-06 2.72630472043789e-06 1.87579464318299e-06 3.59622915775681e-06 4.31729058161801e-06 4.67255036527836e-06 1.69546278337707e-06 4.50356480743985e-06 4.45818604601078e-06 9.62978078151988e-06 6.80039041392466e-06 7.27118862854648e-06 8.04275367416452e-06 6.014673862062e-06 3.31176072042305e-06 3.56835732444327e-06 2.78784487817152e-06 1.95073404685164e-06 1.992557317268e-06 2.3268384686248e-06 2.84556262152014e-06 2.85722574321079e-06 2.11650970083355e-06 2.89979352131875e-06 3.33730334074744e-06 3.74455641313776e-07 9.7091765959012e-07 9.93592190495773e-07 1.55857661526815e-06 1.50591481952456e-06 1.33924730878754e-06 -1.56949760410363e-08 3.47374761733299e-07 -4.92934627185915e-07 -4.31797598662853e-07 -1.44397562774901e-06 -1.45195261758158e-07 -5.85865792837592e-07 -1.66905255163941e-06 -7.23582682660151e-07 -1.15783753362741e-07 -1.8923421120226e-06 -5.00362064365101e-07 8.22324412036446e-07 -1.17823110740156e-07 -1.35480993299075e-07 1.87027283535257e-07 -3.24892812555988e-07 -4.4706168066122e-07 -8.45969291771165e-07 -3.63392000907181e-07 -7.98298000523334e-07 1.04423996769021e-07 -1.04573894543769e-07 -4.54061947680051e-07 -7.3488531698862e-07 1.9300578153747e-07
"9" NA NA NA NA NA NA NA NA NA -1.20711649009841e-10 2.08250347522032e-10 5.59887969320272e-10 4.19112328176041e-10 2.45887150918112e-09 3.01835181848453e-09 2.94108239151658e-09 3.02897165682658e-09 6.73904466952369e-09 1.74867686580926e-08 4.47562789468448e-08 1.14413757926202e-07 2.13229466722309e-07 2.21900702798705e-07 1.50445222377171e-07 2.13046423086505e-07 5.17793389151477e-07 -3.27136320338317e-07 -5.42029594055582e-07 -8.84404568704533e-07 -1.09919739608999e-06 -7.86707488861782e-07 -8.64680601245227e-07 -7.90125412930553e-07 -1.24423744161939e-06 -4.67794043099157e-07 -1.07070730172298e-06 -1.90663474052e-06 -1.37906001680677e-06 -7.96085411558511e-06 -1.06936630300813e-06 -7.37053057156545e-07 -9.38074383727283e-08 1.71184162719995e-07 3.43539449915164e-07 5.11373485501121e-07 8.20941357712601e-07 9.95743788673176e-07 1.33048402313485e-06 1.71451404484824e-06 1.79832722435602e-06 1.33085838797953e-06 1.67201939021977e-06 2.28046437573959e-06 2.52853095743244e-06 7.9860890712935e-07 2.91214674943974e-06 1.87410104285357e-06 3.74271213025856e-06 2.31237180846333e-06 3.59638452054889e-06 8.90378880263887e-07 3.88216494429106e-06 4.3346616027673e-06 7.68215777260939e-06 7.45391301931742e-06 1.02852338194903e-05 7.1264382355829e-06 5.2521057698901e-06 2.84469145318822e-06 3.54145606328016e-06 1.61144358552801e-06 2.66185059082102e-06 2.9385359058276e-06 1.19025731430689e-06 2.07090586097636e-06 2.40124934663966e-06 2.28560379213205e-06 1.95694969361282e-06 1.48642150618605e-06 2.16542892748917e-06 1.81224168357974e-06 8.03948747740701e-07 1.3604450827126e-06 9.10424709024693e-07 1.31945426432023e-06 4.98290613368257e-07 -1.56939163220571e-07 -1.24742006034351e-06 -6.83719932226268e-07 -3.35845768320575e-07 4.8131735111423e-08 1.12920309075504e-07 9.11310195667037e-07 -6.545224917609e-08 1.20043130429071e-06 9.09708525870245e-07 1.36115084078958e-06 -4.83681169879957e-07 -3.52419865276565e-07 -3.70297212365367e-07 2.70965168747139e-07 -8.84079252888581e-07 2.05196620167714e-07 -2.06335491026444e-07 6.90579979034656e-08 1.2113026673366e-07 -1.21479675554981e-07 3.13270530544196e-07 -1.16772963186518e-06 -1.22242227076907e-07 -7.69890787719052e-07
"10" NA NA NA NA NA NA NA NA NA NA 1.87220058900373e-10 3.84558038191152e-10 7.11995531976761e-10 1.97844703120342e-09 3.08210108823648e-09 3.93812113475001e-09 5.33634303412356e-09 1.10435377231877e-08 2.16041437378633e-08 4.45553538092058e-08 9.36961124520241e-08 1.47627630037173e-07 1.85312187428455e-07 1.81178332808729e-07 1.77234061191078e-07 4.80059582211312e-07 -1.87752638936001e-07 -3.24410046576018e-07 -5.36228158584673e-07 -5.49750444306385e-07 -6.32811701650748e-07 -8.21872352813058e-07 -6.13140227909148e-07 -8.28236698169338e-07 -1.45835892750856e-07 -7.67119655548099e-07 -1.26630115729331e-06 -1.37147264750448e-06 -7.7192530762854e-06 -1.29792366636294e-06 -9.48827151070475e-07 -5.19773737384099e-07 -5.95515732976226e-08 1.44525907880277e-07 2.7264155133544e-07 3.67090640066015e-07 3.94568009765006e-07 6.77746127372703e-07 1.45040759066961e-06 9.44480170253503e-07 1.01837228509705e-06 1.08975124681054e-06 1.7845644694342e-06 2.24506053077278e-06 1.44692255971135e-06 1.80568744366505e-06 7.7808919160538e-07 2.29175952758121e-06 1.64212368862493e-06 3.70566132433525e-06 1.10158358697376e-06 3.62786811156091e-06 4.34290895023892e-06 1.16723858959167e-05 1.08714201164928e-05 9.77608347690895e-06 6.65709950911642e-06 5.92523151717039e-06 4.19056006731311e-06 3.14310255282446e-06 2.13407325268256e-06 1.85716320985629e-06 2.17191824260221e-06 2.4251318622992e-06 2.50951333828631e-06 1.90938262115137e-06 1.83207549694919e-06 2.12846749074458e-06 1.37693966022201e-06 1.53050755896667e-06 6.52529799347046e-07 1.12324579325251e-06 1.9416780362852e-06 6.57265050441058e-07 1.03383847828431e-06 -4.65686866929493e-07 1.21457518305335e-06 -4.55096655499476e-07 4.10571865422371e-07 9.38108698889106e-07 -1.59921618031467e-08 -8.34269468633075e-07 -8.06566819167021e-08 3.41745184040398e-07 5.07236008390199e-07 2.46667977821247e-07 -9.92351297385285e-08 9.12944913569746e-07 1.2341953498779e-06 2.3493806475261e-07 1.29605759875695e-06 9.82227873244645e-07 1.70012016381671e-07 -2.05195597111074e-07 1.89137758913049e-07 -3.79820480858606e-07 -1.21126809554672e-07 1.73537857320327e-07 -3.13272199611858e-07 8.71458742390807e-08 3.31819727875104e-07
