"","SWE","DNK","FRATNP","GBRTENW","NOR","FIN","ITA","GBRSCO","NLD","CHE"
"1989",0.17823621374796,0.196921694297889,0.221916782798916,0.189995512730209,0.186269979944066,0.215479588897959,0.236034917923219,0.20785769665672,0.185203205908149,0.185203205908149
"1991",0.174596140262864,0.193411363001248,0.216888869167373,0.185461355578524,0.182331885991146,0.208875177911376,0.228627593720679,0.202638966977743,0.180129396257762,0.180129396257762
"1993",0.170780916848463,0.189552304599185,0.212155468969404,0.180951280630807,0.178145628467937,0.202312124277533,0.22155106845525,0.197345210426447,0.175264876295827,0.175264876295827
"1995",0.167222367645372,0.185985096344383,0.207571487315957,0.176611786852556,0.174106435963173,0.196389818089819,0.214709179533745,0.192657126249426,0.170834445694826,0.170834445694826
"1997",0.163494730409542,0.182404371804829,0.202890917153336,0.172435359610776,0.170215274083611,0.19077087750575,0.208075694274383,0.188324628692795,0.166700226598828,0.166700226598828
"1999",0.159804911495927,0.178693762261181,0.198219890081816,0.168475118718368,0.166531630144918,0.185612631347998,0.201530479352111,0.184279890520589,0.162707200846431,0.162707200846431
"2001",0.156208413899095,0.174988401477554,0.193805360852356,0.16474030952336,0.162892922361127,0.180777252096814,0.195246827149602,0.180681815509564,0.159089157278892,0.159089157278892
"2003",0.152807634520217,0.171199778971244,0.189454225069605,0.161133590442432,0.159207470512922,0.176426787378957,0.189020704491113,0.177078383906747,0.155523597889739,0.155523597889739
"2005",0.14960015179427,0.167586741720789,0.185377973466519,0.157803555718802,0.155901072529549,0.173120482919132,0.183187112175311,0.173732688264067,0.152247875266418,0.152247875266418
"2007",0.146497764876539,0.164357480491077,0.181536567589885,0.154883224639744,0.152682551320694,0.170152275704499,0.177555617334856,0.170795055127246,0.149008556672613,0.149008556672613
"2009",0.143525852718564,0.160917550030589,0.177810197837976,0.152195499757931,0.149691102045029,0.167446458502044,0.172075380163223,0.168070683990689,0.146129436331904,0.146129436331904
"2011",0.140757392501184,0.157729767250937,0.174376523110102,0.149782849812284,0.147101858965357,0.164708719921859,0.166914816625681,0.16532864553373,0.143514181528665,0.143514181528665
"2013",0.137938062202614,0.154643048705529,0.170929809847738,0.147425498746752,0.144556860772158,0.161877735677906,0.162094637172625,0.162617943759576,0.140903240429633,0.140903240429633
"2015",0.135507861760723,0.15155178724139,0.16778577860714,0.145424572545551,0.141849368723576,0.159024395030432,0.157643312646456,0.160120700176831,0.13844125136896,0.13844125136896
"2017",0.133027206121254,0.14858063474985,0.164732615848386,0.143814579561815,0.139202943132027,0.156210535224546,0.153526822033716,0.158234245755216,0.136079684354803,0.136079684354803
